GGNet,PathNet,PPNet,GGNet|PathNet,GGNet|PPNet,PathNet|PPNet,GGNet|PathNet|PPNet
COL6A3,TTN,PBRM1,MUC16,ARID1A,APC,BRAF
GLI3,ERBB3,TLN1,HSPA8,SMARCA4,GATA3,TP53
RYR2,RANBP2,TP53BP1,MAP2K4,TNRC6A,MAP3K1,PIK3CA
ARID5B,TPR,APOB,HLA-A,VWF,ERBB2,PTEN
COL1A1,NFE2L2,CTCF,,AKAP9,SMAD4,CDH1
FAT1,NCOA1,THBS1,,ERCC2,CASP8,SPOP
COL1A2,IL6ST,SIN3A,,FN1,NRAS,KMT2D
TBX3,PDGFRA,TRRAP,,TNRC6B,SOS1,VHL
MDC1,PRKCB,ITGB3,,IQGAP1,EGFR,AKT1
DYNC1H1,ZFHX3,SHC1,,SYNE1,ATR,KRAS
CDK12,CDKN2A,REV3L,,POLE,NCOR2,FBXW7
TAOK1,MYC,MED12,,ITGA2B,NOTCH2,NOTCH1
USP9X,ERBB4,MED13,,,BRCA1,FGFR3
AGO3,AKT3,TAF1,,,NCOA3,EP300
CUL1,LCP2,SMAD3,,,FGFR2,CDKN1A
RARA,BLM,HSPG2,,,ESR1,HRAS
VAV3,FOXO1,BRCA2,,,KDR,ATM
ITGA2,RAC1,FANCM,,,MAPK1,STAG2
ASXL1,NFATC2,DNMT1,,,AR,MTOR
SSH2,JAK2,C3,,,KMT2A,KDM6A
PCLO,RELA,,,,PRKCA,JAK1
PLXNA1,PRKCE,,,,STAT3,KMT2B
UPF2,PDGFRB,,,,PRKDC,CREBBP
MDM2,SMAD2,,,,RUNX1,CTNNB1
EPHA3,TCF7L2,,,,IGF1R,KMT2C
GNG4,FANCD2,,,,TGFBR2,HIF1A
RFC1,JAK3,,,,TLR4,RB1
BRIP1,FOS,,,,KAT2B,CHD4
EGF,,,,,FYN,NCOR1
AHNAK,,,,,HGF,PIK3R1
DDB1,,,,,PLCG1,CCND1
SETD2,,,,,MED1,RHOA
KANSL1,,,,,SRC,JUN
YBX1,,,,,PLCG2,
CACNA1E,,,,,SYK,
PTK2,,,,,,
GRB14,,,,,,
TBL1XR1,,,,,,
ASH1L,,,,,,
ITGAL,,,,,,
CDC42BPA,,,,,,
ANAPC5,,,,,,
MYO10,,,,,,
AMER1,,,,,,
MYH9,,,,,,
HDLBP,,,,,,
VCL,,,,,,
INTS2,,,,,,
NEDD4,,,,,,
BAP1,,,,,,
LRP1,,,,,,
