,gene,rank_product
12,TP53,3.7325111568172478
2,APC,4.7176939803165325
4,KRAS,4.7176939803165325
7,PTEN,4.93242414866094
3,KMT2D,5.768998281229633
11,PIK3CA,9.344657456710518
13,KMT2C,9.435387960633065
5,MAP3K1,9.524406311809196
8,CTNNB1,11.197533470451743
10,PIK3R1,13.95393019703483
16,ATM,15.274930108978465
17,CREBBP,15.708254277210655
30,EP300,18.29154854754167
19,GATA3,19.065333718303567
23,HRAS,21.82785766122211
9,FBXW7,24.82545080612404
15,MUC16,29.69316881590332
20,CHD4,30.01776725319095
25,KMT2A,33.32341927385729
21,TGFBR2,40.18580226827021
1,VHL,76.95426530171441
6294,CDH1,96.55730531014446
6251,BRAF,115.69310475207094
141,ATP6V0D1,122.1555616600396
6,SPOP,125.86861672537931
98,RCVRN,144.07287977529367
74,OR51B5,150.3842002793136
6352,NOTCH1,154.50637273281183
78,NPPB,155.91590909537962
6314,NRAS,159.28905924074573
6334,SMAD4,162.41503092371804
6189,TTN,163.69781255586005
386,GALNT5,163.79284274164885
40,OR1A1,164.08126054248135
59,OR2V2,166.80839056297492
57,B3GNT6,168.86318771210765
36,RAB7B,176.06119815661162
39,NXF2,178.31241687506335
148,IL36B,186.6067019691949
64,OR2T5,186.8236873244432
469,ATP6V1G1,189.08679048150037
22,KMT2B,190.06553602571782
6345,ERBB2,197.5245709962963
46,FFAR4,205.77592123568385
259,UTP15,207.45841136797418
6281,AKT1,212.78182307476757
352,ATP6V0E1,213.3846122390806
6350,NCOR1,213.75028373364972
18,FGFR3,213.92643117051648
80,OR3A3,215.48999474437957
5464,STAG2,217.52622751495903
6339,CASP8,217.99321023658447
511,WDR43,218.5908417241953
42,TAS2R13,218.73120905254274
24,IGF1R,219.00398232995278
49,OR10G7,228.47233950872447
6283,RB1,228.87338143734272
27,EGFR,228.89458227093834
54,OR1L8,240.09244124151726
643,ATP6V1E2,240.72005970344924
6052,JAK1,241.56816871177568
65,OR8J1,244.01179061540762
6313,CDKN1A,245.126737149355
67,OR9G4,245.61782153071871
122,GPR18,246.7417627045401
26,FAT1,247.95234082438463
37,OR7D4,248.32198898174815
107,NOL12,254.19176623339047
121,UCN2,254.75637374774195
6272,AR,257.2929381379977
6226,ATR,258.4104797227142
63,TAS2R3,258.874175502652
1197,ATP6V1E1,264.4271904110072
5136,SOS1,265.3660539907852
58,OR1M1,267.11776426358875
6358,KDM6A,272.68734752927725
93,OR10H1,274.0241955652324
38,OR2T4,277.0891292636275
92,TAS2R31,280.5307111432658
6119,JUN,282.387074713313
232,TAS2R30,283.408077473936
33,NOTCH2,285.1711703871225
81,ZNF764,285.97230240191277
72,IAPP,288.5268135356823
69,IL36G,288.61865468017834
161,UTS2B,289.23077156315645
75,OR10H5,290.72186001827583
60,CYP26C1,295.10956382242705
6311,MTOR,295.15403236182436
100,PWP2,295.2830224545293
68,OR6K3,295.63355554236176
126,OR11G2,298.30256194243725
89,OR2J3,300.6104237669919
193,RTP1,301.1730222329643
47,OR6N2,302.6990516514722
600,RAB35,312.88636839873493
62,OR4D9,313.4848545363542
6346,BRCA1,315.06759278471407
44,OR9Q1,315.64945371427496
2321,ATP6V1G3,316.61573449864784
